match_id,inning,batting_team,bowling_team,over,runs,wickets,winner
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,1,7,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,2,16,1,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,3,6,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,4,4,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,5,9,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,6,17,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,7,5,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,8,11,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,9,9,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,10,4,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,11,10,1,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,12,8,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,13,18,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,14,8,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,15,19,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,16,4,1,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,17,7,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,18,17,0,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,19,12,1,Sunrisers Hyderabad
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,20,16,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,1,11,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,2,1,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,3,16,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,4,15,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,5,5,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,6,6,1,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,7,7,1,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,8,13,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,9,11,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,10,13,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,11,13,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,12,7,1,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,13,8,1,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,14,4,1,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,15,9,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,16,12,0,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,17,3,1,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,18,2,2,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,19,9,1,Sunrisers Hyderabad
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,20,7,1,Sunrisers Hyderabad
2,1,Mumbai Indians,Rising Pune Supergiant,1,11,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,2,8,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,3,9,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,4,13,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,5,7,1,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,6,13,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,7,2,2,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,8,3,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,9,10,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,10,6,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,11,10,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,12,3,1,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,13,11,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,14,5,1,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,15,9,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,16,7,1,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,17,10,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,18,8,0,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,19,9,1,Rising Pune Supergiants
2,1,Mumbai Indians,Rising Pune Supergiant,20,30,1,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,1,8,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,2,15,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,3,12,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,4,4,1,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,5,4,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,6,16,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,7,4,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,8,10,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,9,9,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,10,11,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,11,4,1,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,12,8,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,13,9,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,14,15,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,15,10,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,16,9,1,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,17,10,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,18,7,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,19,7,0,Rising Pune Supergiants
2,2,Rising Pune Supergiant,Mumbai Indians,20,15,0,Rising Pune Supergiants
3,1,Gujarat Lions,Kolkata Knight Riders,1,8,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,2,8,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,3,6,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,4,7,1,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,5,11,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,6,12,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,7,12,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,8,8,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,9,4,1,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,10,15,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,11,4,1,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,12,7,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,13,7,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,14,7,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,15,9,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,16,5,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,17,11,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,18,12,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,19,16,0,Kolkata Knight Riders
3,1,Gujarat Lions,Kolkata Knight Riders,20,14,1,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,1,7,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,2,13,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,3,17,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,4,9,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,5,7,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,6,20,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,7,23,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,8,7,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,9,6,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,10,7,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,11,15,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,12,16,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,13,6,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,14,9,0,Kolkata Knight Riders
3,2,Kolkata Knight Riders,Gujarat Lions,15,22,0,Kolkata Knight Riders
3,2,,,16,0,0,Kolkata Knight Riders
3,2,,,17,0,0,Kolkata Knight Riders
